timestamp, x_raw, x_filtered, y_raw, y_filtered, z_raw, z_filtered, IsAbnormal?
00:00:03, 0.014, 0.014, -0.038, -0.038, 9.811, 9.811, 0
00:00:04, -0.017, -0.002, -0.036, -0.037, 9.799, 9.805, 0
00:00:04, -0.034, -0.012, 0.026, -0.016, 9.876, 9.829, 0
00:00:05, -0.036, -0.018, -0.014, -0.015, 9.754, 9.810, 0
00:00:06, 0.031, -0.009, 0.046, -0.003, 9.862, 9.821, 0
00:00:06, 0.064, 0.002, -0.012, 0.002, 9.790, 9.816, 0
00:00:07, -0.022, 0.001, -0.024, 0.004, 9.809, 9.818, 0
00:00:07, 0.036, 0.014, -0.007, -0.002, 9.780, 9.799, 0
00:00:08, -0.075, 0.007, -0.045, -0.008, 9.780, 9.804, 0
00:00:08, 0.028, 0.006, 0.019, -0.014, 9.816, 9.795, 0
00:00:09, -0.039, -0.014, 0.012, -0.009, 9.766, 9.790, 0
00:00:10, -0.010, -0.012, 0.031, 0.002, 9.840, 9.797, 0
00:00:10, 0.043, -0.010, 0.036, 0.011, 9.814, 9.803, 0
00:00:11, 1.805, 0.365, 1.025, 0.225, 9.663, 9.780, 0
00:00:11, 6.768, 1.713, 0.970, 0.415, 7.791, 9.375, 1
00:00:11, -2.921, 1.137, -0.246, 0.363, 10.568, 9.535, 1
00:00:12, -3.477, 0.443, -1.002, 0.156, 10.613, 9.690, 1
00:00:14, -6.171, -0.799, -1.007, -0.052, 10.628, 9.853, 1
00:00:15, -4.223, -2.005, -1.323, -0.522, 9.645, 9.849, 1
00:00:16, -7.630, -4.885, -1.756, -1.067, 13.416, 10.974, 1
00:00:17, -2.553, -4.811, -0.235, -1.064, 12.866, 11.434, 1
00:00:19, 1.091, -3.897, 0.989, -0.666, 11.237, 11.558, 1
00:00:19, -2.962, -3.255, 0.020, -0.461, 11.845, 11.802, 1
00:00:20, -6.349, -3.681, -1.794, -0.555, 9.492, 11.771, 1
00:00:21, -0.804, -2.316, 0.275, -0.149, 9.975, 11.083, 1
00:00:23, -0.000, -1.805, 0.030, -0.096, 9.882, 10.486, 0
00:00:23, 0.033, -2.017, 0.001, -0.293, 9.827, 10.204, 0
00:00:24, 0.021, -1.420, -0.010, -0.300, 9.903, 9.816, 0
00:00:24, -0.000, -0.150, -0.013, 0.057, 9.834, 9.884, 0
00:00:25, -0.036, 0.003, -0.039, -0.006, 9.836, 9.856, 0
00:00:25, -0.022, -0.001, 0.023, -0.008, 9.757, 9.832, 0
00:00:26, -0.000, -0.008, 0.018, -0.004, 9.815, 9.829, 0
00:00:27, -0.034, -0.019, 0.016, 0.001, 9.939, 9.836, 0
00:00:27, 0.050, -0.009, -0.003, 0.003, 9.865, 9.843, 0
00:00:28, -0.020, -0.005, 0.001, 0.011, 9.803, 9.836, 0
00:00:28, 0.028, 0.005, -0.010, 0.004, 9.851, 9.855, 0
00:00:29, 0.055, 0.016, -0.056, -0.010, 9.853, 9.862, 0
00:00:29, 0.069, 0.036, -0.056, -0.025, 9.875, 9.849, 0
00:00:30, -0.022, 0.022, 0.018, -0.021, 9.817, 9.840, 0
00:00:31, -0.000, 0.026, 0.011, -0.019, 9.817, 9.843, 0
00:00:31, -0.000, 0.020, -0.020, -0.021, 9.817, 9.836, 0
00:00:32, 0.024, 0.014, 0.025, -0.004, 9.846, 9.834, 0
00:00:32, 0.038, 0.008, 0.001, 0.007, 9.887, 9.837, 0
00:00:33, -0.003, 0.012, -0.056, -0.008, 9.832, 9.840, 0
00:00:33, 0.014, 0.014, -0.003, -0.010, 9.808, 9.838, 0
00:00:34, 0.038, 0.022, 0.061, 0.006, 9.822, 9.839, 0
00:00:35, -0.044, 0.009, 0.047, 0.010, 9.841, 9.838, 0
00:00:35, 0.062, 0.013, 0.047, 0.019, 9.717, 9.804, 0
00:00:36, 0.007, 0.015, -0.020, 0.026, 9.858, 9.809, 0
00:00:36, -0.000, 0.013, 0.021, 0.031, 9.918, 9.831, 0
00:00:37, -0.034, -0.002, -0.037, 0.012, 9.755, 9.818, 0
00:00:37, 0.036, 0.014, -0.089, -0.016, 9.714, 9.792, 0
00:00:38, -0.000, 0.002, -0.034, -0.032, 9.829, 9.815, 0
00:00:39, 0.059, 0.012, 0.037, -0.021, 9.812, 9.806, 0
00:00:39, -0.027, 0.007, -0.020, -0.029, 9.841, 9.790, 0
00:00:40, -0.044, 0.005, -0.006, -0.022, 9.796, 9.798, 0
00:00:40, -0.008, -0.004, 0.006, -0.003, 9.755, 9.807, 0
00:00:41, 0.014, -0.001, 0.016, 0.007, 9.834, 9.808, 0
00:00:41, 0.007, -0.011, 0.006, 0.001, 9.815, 9.808, 0
00:00:42, 0.002, -0.006, -0.003, 0.004, 9.855, 9.811, 0
00:00:43, -0.000, 0.003, 0.054, 0.016, 9.784, 9.809, 0
00:00:43, -0.012, 0.002, 0.001, 0.015, 9.865, 9.831, 0
00:00:44, 0.038, 0.007, -0.020, 0.008, 9.839, 9.832, 0
00:00:45, 0.019, 0.009, -0.046, -0.003, 9.793, 9.827, 0
00:00:45, 0.014, 0.012, -0.022, -0.007, 9.791, 9.814, 0
00:00:46, 0.069, 0.025, -0.003, -0.018, 9.796, 9.817, 0
00:00:46, 0.014, 0.031, -0.020, -0.022, 9.903, 9.824, 0
00:00:47, 0.012, 0.025, -0.001, -0.019, 9.851, 9.827, 0
00:00:47, -0.067, 0.008, -0.003, -0.010, 9.889, 9.846, 0
00:00:48, -0.005, 0.004, -0.003, -0.006, 9.843, 9.856, 0
00:00:49, 0.055, 0.002, 0.025, -0.000, 9.786, 9.855, 0
00:00:49, -0.039, -0.009, 0.013, 0.006, 9.827, 9.839, 0
00:00:50, -0.060, -0.023, -0.039, -0.001, 9.855, 9.840, 0
00:00:50, -0.010, -0.012, 0.011, 0.001, 9.855, 9.833, 0
00:00:51, 0.050, -0.001, 0.033, 0.009, 9.832, 9.831, 0
00:00:51, -0.005, -0.013, -0.030, -0.002, 9.829, 9.840, 0
00:00:52, -0.087, -0.022, -0.044, -0.014, 9.860, 9.846, 0
00:00:53, -0.063, -0.023, 0.011, -0.004, 9.757, 9.827, 0
00:00:53, 0.069, -0.007, 0.011, -0.004, 9.709, 9.798, 0
00:00:54, -0.017, -0.021, -0.044, -0.019, 9.891, 9.809, 0
00:00:54, 0.004, -0.019, -0.027, -0.019, 9.774, 9.798, 0
00:00:55, 0.040, 0.007, -0.020, -0.014, 9.784, 9.783, 0
00:00:55, 0.014, 0.022, -0.013, -0.019, 9.906, 9.813, 0
00:00:56, 0.076, 0.024, 0.028, -0.015, 9.729, 9.817, 0
00:00:57, 0.012, 0.029, 0.030, -0.000, 9.798, 9.798, 0
00:00:57, -0.012, 0.026, -0.018, 0.001, 9.913, 9.826, 0
00:00:58, 0.026, 0.023, 0.030, 0.012, 9.858, 9.841, 0
00:00:58, -0.024, 0.015, -0.008, 0.012, 9.697, 9.799, 0
00:00:59, 0.100, 0.020, -0.003, 0.006, 9.812, 9.816, 0
00:00:59, -0.012, 0.015, 0.021, 0.004, 9.867, 9.830, 0
00:01:00, 0.062, 0.030, 0.011, 0.010, 9.822, 9.811, 0
00:01:01, 0.024, 0.030, -0.001, 0.004, 9.788, 9.798, 0
00:01:01, -0.020, 0.031, -0.008, 0.004, 9.836, 9.825, 0
00:01:02, -0.022, 0.006, 0.045, 0.013, 9.815, 9.826, 0
00:01:02, 9.258, 1.860, 2.025, 0.414, 11.711, 10.194, 1
00:01:02, -10.719, -0.296, -3.425, -0.273, 7.369, 9.704, 0
00:01:04, -5.847, -1.470, -3.444, -0.961, 7.908, 9.328, 1
00:01:04, 1.640, -1.138, -1.248, -1.210, 8.425, 9.045, 1
00:01:05, -0.944, -1.323, -0.271, -1.273, 11.333, 9.349, 1
00:01:05, -7.028, -4.580, -1.537, -1.985, 9.559, 8.919, 1
00:01:06, 5.325, -1.371, 0.461, -1.208, 8.350, 9.115, 1
00:01:07, -3.824, -0.966, -1.133, -0.746, 8.356, 9.205, 1
00:01:09, 6.105, -0.073, 1.732, -0.150, 11.685, 9.857, 1
00:01:10, -5.995, -1.084, -1.828, -0.461, 7.097, 9.009, 1
00:01:11, 3.335, 0.989, 0.836, 0.014, 9.913, 9.080, 1
00:01:12, 2.010, 0.326, 1.374, 0.196, 10.809, 9.572, 1
00:01:14, -0.062, 1.078, -0.032, 0.416, 9.816, 9.864, 0
00:01:14, -0.069, -0.156, -0.024, 0.065, 9.840, 9.495, 0
00:01:15, -0.009, 1.041, -0.039, 0.423, 9.830, 10.042, 0
00:01:16, 0.036, 0.381, -0.017, 0.252, 9.821, 10.023, 0
00:01:16, -0.071, -0.035, -0.075, -0.037, 9.734, 9.808, 0
00:01:17, -0.052, -0.033, -0.048, -0.041, 9.806, 9.806, 0
00:01:17, -0.004, -0.020, -0.041, -0.044, 9.837, 9.806, 0
00:01:18, -0.019, -0.022, -0.003, -0.037, 9.823, 9.804, 0
00:01:19, -0.083, -0.046, -0.010, -0.035, 9.883, 9.817, 0
00:01:19, -0.088, -0.049, -0.005, -0.021, 9.770, 9.824, 0
00:01:20, -0.026, -0.044, -0.043, -0.020, 9.828, 9.828, 0
00:01:20, -0.024, -0.048, 0.048, -0.003, 9.811, 9.823, 0
00:01:21, -0.043, -0.053, -0.072, -0.017, 9.864, 9.831, 0
00:01:21, -0.028, -0.042, 0.036, -0.008, 9.799, 9.814, 0
00:01:22, -0.009, -0.026, -0.000, -0.007, 9.782, 9.817, 0
00:01:23, -0.040, -0.029, -0.046, -0.007, 9.869, 9.825, 0
00:01:23, -0.088, -0.042, 0.009, -0.015, 9.854, 9.834, 0
00:01:24, -0.012, -0.035, -0.084, -0.017, 9.761, 9.813, 0
00:01:24, -0.069, -0.044, -0.017, -0.028, 9.813, 9.816, 0
00:01:25, -0.014, -0.045, -0.055, -0.039, 9.835, 9.826, 0
00:01:25, 0.017, -0.033, -0.063, -0.042, 9.785, 9.810, 0
00:01:26, -0.071, -0.030, 0.055, -0.033, 9.727, 9.784, 0
00:01:27, -0.052, -0.038, -0.034, -0.023, 9.849, 9.802, 0
00:01:27, -0.028, -0.030, -0.029, -0.025, 9.766, 9.792, 0
00:01:28, -0.047, -0.036, -0.015, -0.017, 9.792, 9.784, 0
00:01:28, -0.033, -0.046, -0.012, -0.007, 9.876, 9.802, 0
00:01:29, -0.064, -0.045, -0.046, -0.027, 9.766, 9.810, 0
00:01:29, -0.040, -0.043, -0.020, -0.024, 9.883, 9.816, 0
00:01:30, 0.017, -0.034, -0.024, -0.023, 9.804, 9.824, 0
00:01:31, -0.055, -0.035, 0.009, -0.019, 9.785, 9.823, 0
00:01:31, -0.024, -0.033, -0.024, -0.021, 9.720, 9.791, 0
00:01:32, -0.064, -0.033, -0.034, -0.019, 9.871, 9.813, 0
00:01:32, -0.055, -0.036, -0.077, -0.030, 9.708, 9.778, 0
00:01:33, -0.031, -0.046, -0.053, -0.036, 9.768, 9.770, 0
00:01:33, -0.055, -0.046, -0.008, -0.039, 9.828, 9.779, 0
00:01:34, -0.100, -0.061, -0.060, -0.046, 9.737, 9.782, 0
00:01:35, -0.021, -0.052, -0.036, -0.047, 9.888, 9.786, 0
00:01:35, -0.004, -0.042, -0.039, -0.039, 9.885, 9.821, 0
00:01:36, -0.079, -0.052, -0.003, -0.029, 9.746, 9.817, 0
00:01:36, -0.050, -0.051, -0.008, -0.029, 9.893, 9.830, 0
00:01:37, -0.033, -0.037, -0.017, -0.020, 9.785, 9.839, 0
00:01:38, 0.003, -0.033, 0.012, -0.011, 9.802, 9.822, 0
00:01:38, 0.053, -0.021, -0.022, -0.008, 9.804, 9.806, 0
00:01:39, -0.004, -0.006, -0.003, -0.008, 9.818, 9.820, 0
00:01:39, -0.007, 0.002, 0.026, -0.001, 9.847, 9.811, 0
00:01:40, 0.017, 0.012, -0.020, -0.001, 9.749, 9.804, 0
00:01:40, -0.055, 0.001, -0.008, -0.005, 9.823, 9.808, 0
00:01:41, 0.015, -0.007, -0.034, -0.008, 9.806, 9.809, 0
00:01:42, -0.079, -0.022, -0.022, -0.011, 9.854, 9.816, 0
00:01:42, 0.010, -0.018, -0.024, -0.021, 9.840, 9.814, 0
00:01:43, -0.021, -0.026, 0.021, -0.013, 9.773, 9.819, 0
00:01:43, -0.033, -0.022, -0.082, -0.028, 9.739, 9.802, 0
00:01:44, -0.057, -0.036, -0.041, -0.030, 9.816, 9.804, 0
00:01:44, -0.059, -0.032, -0.067, -0.039, 9.849, 9.803, 0
00:01:45, 0.000, -0.034, -0.048, -0.043, 9.763, 9.788, 0
00:01:46, 0.032, -0.024, -0.034, -0.054, 9.909, 9.815, 0
00:01:46, -0.045, -0.026, -0.010, -0.040, 9.840, 9.836, 0
00:01:47, -0.047, -0.024, -0.041, -0.040, 9.813, 9.835, 0
00:01:47, -0.062, -0.024, -0.022, -0.031, 9.725, 9.810, 0
00:01:48, -0.064, -0.037, 0.048, -0.012, 9.780, 9.813, 0
00:01:48, -0.002, -0.044, -0.029, -0.011, 9.799, 9.791, 0
00:01:49, -0.014, -0.038, -0.008, -0.010, 9.833, 9.790, 0
00:01:50, -0.014, -0.031, -0.087, -0.020, 9.806, 9.789, 0
00:01:50, -0.026, -0.024, -0.075, -0.030, 9.897, 9.823, 0
00:01:51, -0.021, -0.015, -0.029, -0.045, 9.854, 9.838, 0
00:01:51, -0.064, -0.028, -0.055, -0.051, 9.770, 9.832, 0
00:01:52, -0.002, -0.025, -0.039, -0.057, 9.825, 9.831, 0
00:01:53, -0.035, -0.030, 0.002, -0.039, 9.778, 9.825, 0
00:01:53, -0.038, -0.032, -0.020, -0.028, 9.811, 9.808, 0
00:01:54, 0.034, -0.021, -0.043, -0.031, 9.904, 9.818, 0
00:01:54, -0.021, -0.012, 0.012, -0.018, 9.866, 9.837, 0
00:01:55, 0.003, -0.012, -0.024, -0.015, 9.857, 9.843, 0
00:01:56, -0.050, -0.014, -0.060, -0.027, 9.840, 9.856, 0
00:01:56, -0.026, -0.012, -0.008, -0.025, 9.816, 9.857, 0
00:01:57, -0.074, -0.034, -0.055, -0.027, 9.823, 9.840, 0
00:01:57, -0.026, -0.035, -0.063, -0.042, 9.825, 9.832, 0
00:01:58, -0.038, -0.043, -0.020, -0.041, 9.830, 9.827, 0
00:01:58, -0.009, -0.035, -0.020, -0.033, 9.861, 9.831, 0
00:01:59, -0.055, -0.040, -0.060, -0.043, 9.861, 9.840, 0
00:02:00, -0.067, -0.039, -0.034, -0.039, 9.907, 9.857, 0
00:02:00, 0.015, -0.031, -0.041, -0.035, 9.828, 9.858, 0
00:02:01, 0.017, -0.020, -0.036, -0.038, 9.816, 9.855, 0
00:02:01, -0.038, -0.025, 0.033, -0.028, 9.751, 9.833, 0
00:02:02, 0.003, -0.014, -0.067, -0.029, 9.780, 9.816, 0
00:02:02, -0.064, -0.013, -0.043, -0.031, 9.802, 9.795, 0
00:02:03, -0.064, -0.029, 0.019, -0.019, 9.864, 9.802, 0
00:02:04, -0.079, -0.048, -0.017, -0.015, 9.778, 9.795, 0
00:02:04, -0.052, -0.051, -0.043, -0.031, 9.725, 9.790, 0
00:02:05, -0.033, -0.058, -0.005, -0.018, 9.756, 9.785, 0
00:02:05, -0.026, -0.051, -0.034, -0.016, 9.854, 9.795, 0
